,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
54,Karur,10.95,78.0833,84.43,64,95,8.81,IN,1622686289
55,Ponta do Sol,32.6667,-17.1,65.03,70,100,8.08,PT,1622686290
56,Chokurdakh,70.6333,147.9167,71.91,21,88,10.33,RU,1622686290
57,Tiksi,71.6872,128.8694,48.29,70,99,11.16,RU,1622686291
58,Kahului,20.8947,-156.47,84.97,67,20,24.16,US,1622686291
59,Vaini,-21.2,-175.2,75.36,73,75,8.05,TO,1622686291
60,Parakou,9.3372,2.6303,73.11,93,63,5.32,BJ,1622686291
61,Det Udom,14.906,105.0784,93.4,61,100,6.42,TH,1622686292
62,Faanui,-16.4833,-151.75,80.58,73,9,13.8,PF,1622686292
63,Chifeng,42.2683,118.9636,65.46,24,58,21.79,CN,1622686292
64,Zaysan,47.4667,84.8667,77.52,41,40,4.21,KZ,1622686293
65,Langenburg,49.2544,9.8458,58.73,68,75,4.61,DE,1622686293
66,Tasiilaq,65.6145,-37.6368,33.96,86,45,4.56,GL,1622686294
67,East London,-33.0153,27.9116,62.04,74,100,20.07,ZA,1622686294
68,Hasaki,35.7333,140.8333,79.29,69,16,11.32,JP,1622686294
69,Port Lincoln,-34.7333,135.8667,60.69,65,55,14.54,AU,1622686295
70,Narsaq,60.9167,-46.05,43.02,89,100,5.66,GL,1622686269
71,Lavrentiya,65.5833,-171.0,33.06,66,100,15.43,RU,1622686295
72,Mataura,-46.1927,168.8643,49.48,77,77,2.28,NZ,1622686295
73,Elko,41.0002,-115.5012,87.82,30,12,6.58,US,1622686296
74,Soria,41.6667,-2.6667,51.85,67,22,2.1,ES,1622686296
75,Punta Arenas,-53.15,-70.9167,23.11,86,75,6.98,CL,1622686296
76,Fare,-16.7,-151.0167,80.49,78,44,13.53,PF,1622686297
77,Dikson,73.5069,80.5464,32.41,95,100,6.51,RU,1622686297
78,Hortobágy,47.5828,21.1511,53.8,78,100,7.11,HU,1622686297
79,Rafaela,-31.2503,-61.4867,57.97,66,5,3.24,AR,1622686298
80,Saint-Joseph,-21.3667,55.6167,69.21,79,87,15.75,RE,1622686298
81,Takoradze,4.8845,-1.7554,79.38,83,81,6.62,GH,1622686298
82,Caloundra,-26.8,153.1333,72.05,81,95,1.01,AU,1622686299
83,Bonavista,48.6499,-53.1147,48.02,96,38,7.47,CA,1622686299
84,Rocha,-34.4833,-54.3333,45.01,83,6,5.97,UY,1622686299
85,Pisco,-13.7,-76.2167,64.45,82,90,6.91,PE,1622686300
86,South Sioux City,42.4739,-96.4136,73.67,40,1,5.75,US,1622686300
87,Arraial do Cabo,-22.9661,-42.0278,72.05,89,0,13.06,BR,1622686300
88,Priyutnoye,46.1011,43.5072,57.58,87,17,13.53,RU,1622686301
89,Bengkulu,-3.8004,102.2655,83.05,69,94,2.84,ID,1622686301
90,Aktash,50.3,87.7333,57.83,52,48,0.94,RU,1622686301
91,Brae,60.3964,-1.353,49.91,84,4,13.11,GB,1622686302
92,Camacha,33.0833,-16.3333,62.02,63,40,11.5,PT,1622686302
93,Kruisfontein,-34.0033,24.7314,56.53,75,99,10.54,ZA,1622686302
94,Souillac,-20.5167,57.5167,75.36,69,68,18.48,MU,1622686303
95,Ogaminana,7.5946,6.2248,74.32,95,72,3.76,NG,1622686303
96,Nagua,19.3832,-69.8474,77.45,87,64,7.0,DO,1622686301
97,Butaritari,3.0707,172.7902,82.45,78,100,12.97,KI,1622686303
98,Souris,49.6172,-100.2612,73.98,55,100,8.7,CA,1622686304
99,Saskylakh,71.9167,114.0833,37.63,75,100,15.5,RU,1622686304
100,Thompson,55.7435,-97.8558,59.94,68,100,10.85,CA,1622686304
101,Sørland,67.667,12.6934,51.21,76,7,6.93,NO,1622686305
102,Sitka,57.0531,-135.33,49.89,87,90,16.11,US,1622686305
103,Antofagasta,-23.65,-70.4,58.28,85,8,1.86,CL,1622686064
104,Busselton,-33.65,115.3333,62.04,66,89,2.59,AU,1622686305
105,Jenison,42.9072,-85.792,65.1,79,100,1.01,US,1622686306
106,Poltava,49.5937,34.5407,52.92,78,100,17.47,UA,1622686306
107,Kalmunai,7.4167,81.8167,82.56,77,97,4.18,LK,1622686155
108,Cayenne,4.9333,-52.3333,81.09,85,0,1.99,GF,1622686307
109,Machilipatnam,16.1667,81.1333,84.4,69,20,8.41,IN,1622686307
110,Iqaluit,63.7506,-68.5145,29.93,92,90,13.0,CA,1622686226
111,Portland,45.5234,-122.6762,88.77,42,20,3.0,US,1622685864
112,Oak Harbor,48.2932,-122.6432,78.64,72,40,11.01,US,1622686308
113,Porto-Novo,6.4965,2.6036,79.29,85,83,4.9,BJ,1622686308
114,San Patricio,28.017,-97.5169,80.85,83,9,8.23,US,1622686308
115,Inírida,3.8653,-67.9239,73.87,96,99,2.3,CO,1622686309
116,Sabinas,27.85,-101.1167,81.99,56,99,8.28,MX,1622686075
117,Carroll,39.5501,-77.0164,70.52,70,100,5.01,US,1622686309
118,Neftçala,39.3742,49.2472,73.2,68,0,17.56,AZ,1622686309
119,Reconquista,-29.15,-59.65,57.4,80,21,5.55,AR,1622686310
120,West Bay,19.3667,-81.4167,82.47,82,20,1.99,KY,1622686310
121,Labuhan,-6.8844,112.2051,83.57,73,100,8.23,ID,1622686310
122,Amoy,24.4798,118.0819,87.85,74,20,11.18,CN,1622686067
123,Birao,10.2849,22.7882,77.76,61,100,3.18,CF,1622686311
124,Esperance,-33.8667,121.9,60.64,75,51,9.98,AU,1622686311
125,Tuatapere,-46.1333,167.6833,49.82,73,83,3.67,NZ,1622686311
126,Oussouye,12.485,-16.5469,75.6,74,75,4.9,SN,1622686312
127,Khatanga,71.9667,102.5,36.79,72,78,4.85,RU,1622686312
128,Airai,-8.9266,125.4092,72.64,56,53,3.62,TL,1622686312
129,Pizarro,4.9533,-77.366,77.83,88,95,2.93,CO,1622686313
130,Hobart,-42.8794,147.3294,60.66,63,75,1.99,AU,1622686313
131,Atherton,53.5237,-2.4935,62.15,78,40,4.0,GB,1622686313
132,Yulara,-25.2406,130.9889,62.83,48,40,14.36,AU,1622686314
133,Port Elizabeth,-33.918,25.5701,60.91,65,87,13.31,ZA,1622686314
134,Tautira,-17.7333,-149.15,82.42,83,87,12.21,PF,1622686314
135,Castro,-24.7911,-50.0119,56.19,94,2,2.91,BR,1622686315
136,Sabang,5.8933,95.3214,82.74,74,98,8.1,ID,1622686315
137,Honiara,-9.4333,159.95,84.65,76,45,5.03,SB,1622686315
138,Nizhniy Kuranakh,58.8353,125.4869,67.53,47,35,2.13,RU,1622686316
139,Cabedelo,-6.9811,-34.8339,72.27,80,5,11.63,BR,1622686316
140,Waipawa,-41.4122,175.5153,55.02,61,0,1.63,NZ,1622686316
141,Raja,8.4596,25.678,71.06,86,100,5.12,SS,1622686317
142,La Ronge,55.1001,-105.2842,63.27,73,89,8.1,CA,1622686317
143,Buala,-8.145,159.5921,82.24,80,88,5.17,SB,1622686317
144,Lufilufi,-13.8745,-171.5986,82.92,66,49,13.44,WS,1622686318
145,Tual,-5.6667,132.75,82.11,77,43,20.85,ID,1622686318
146,Kushiro,42.975,144.3747,58.84,84,94,8.93,JP,1622686318
147,Pangoa,-12.1167,-73.0,68.54,99,100,2.13,PE,1622686319
148,Lorengau,-2.0226,147.2712,78.22,92,100,5.84,PG,1622686319
149,Pastavy,55.1168,26.8326,54.03,75,100,5.79,BY,1622686319
150,Kayerkan,69.3497,87.7602,33.64,97,100,3.74,RU,1622686320
151,New Norfolk,-42.7826,147.0587,60.3,49,100,3.15,AU,1622686320
152,Ribeira Grande,38.5167,-28.7,59.94,66,28,4.9,PT,1622686320
153,Abu Samrah,35.3029,37.1841,60.03,64,0,5.3,SY,1622686321
154,Hualmay,-11.0964,-77.6139,64.33,86,42,7.16,PE,1622686321
155,Americus,32.0724,-84.2327,76.05,74,1,3.44,US,1622686285
156,Omboué,-1.5746,9.2618,74.71,93,100,4.61,GA,1622686321
157,Adelaide,-34.9333,138.6,62.58,80,75,1.99,AU,1622686231
158,Bambous Virieux,-20.3428,57.7575,75.22,68,68,18.7,MU,1622686322
159,Sinnamary,5.3833,-52.95,77.05,90,100,7.87,GF,1622686322
160,Quartucciu,39.2519,9.1794,67.87,83,0,5.28,IT,1622686322
161,Zabul Province,32.25,67.25,70.97,14,0,6.55,AF,1622686323
162,Lesozavodsk,45.4794,133.4244,59.74,92,100,8.19,RU,1622686323
163,Cidreira,-30.1811,-50.2056,60.37,86,32,4.09,BR,1622686323
164,Laguna,38.421,-121.4238,98.44,33,1,5.01,US,1622686324
165,Villazón,-22.0866,-65.5942,44.87,37,0,7.78,BO,1622686324
166,Zemen,42.4789,22.7492,43.75,83,12,3.67,BG,1622686324
167,Sartell,45.6216,-94.2069,75.92,56,1,7.34,US,1622686325
168,Varhaug,58.6147,5.6457,59.7,68,5,13.22,NO,1622686325
169,Balikpapan,-1.2675,116.8289,83.39,79,40,5.75,ID,1622686325
170,Lakatoro,-16.0999,167.4164,78.57,71,100,13.6,VU,1622686326
171,Itarema,-2.9248,-39.9167,78.06,81,9,11.36,BR,1622686326
172,Ivanishchi,55.7742,40.4273,45.73,85,3,7.07,RU,1622686326
173,Salalah,17.0151,54.0924,80.69,83,40,3.44,OM,1622686326
174,Mount Isa,-20.7333,139.5,71.37,46,72,14.97,AU,1622686327
175,Banda Aceh,5.5577,95.3222,82.87,75,98,4.83,ID,1622686327
176,Charters Towers,-20.1,146.2667,77.65,50,12,6.22,AU,1622686327
177,Kutum,14.2,24.6667,78.66,36,60,9.22,SD,1622686328
178,Vilhena,-12.7406,-60.1458,74.5,62,100,0.54,BR,1622686206
179,Skała,50.2305,19.8536,50.52,83,0,3.22,PL,1622686328
180,Upernavik,72.7868,-56.1549,28.29,89,67,7.45,GL,1622686231
181,Saint-Doulchard,47.1037,2.352,64.58,94,30,4.09,FR,1622686329
182,Jacareacanga,-6.2222,-57.7528,75.83,70,6,1.39,BR,1622686329
183,Hambantota,6.1241,81.1185,82.06,77,98,15.68,LK,1622686329
184,Juneau,58.3019,-134.4197,54.21,100,100,3.0,US,1622686330
185,San Cristobal,7.7669,-72.225,68.18,97,96,0.29,VE,1622686330
186,Talnakh,69.4865,88.3972,36.81,82,100,0.78,RU,1622686330
187,Klaksvík,62.2266,-6.589,49.12,95,100,10.22,FO,1622686331
188,Clyde River,70.4692,-68.5914,27.14,92,99,1.97,CA,1622686331
189,Purpe,64.4803,76.6897,41.74,55,100,13.71,RU,1622686331
190,Tonj,7.2737,28.6822,73.13,88,100,3.49,SS,1622686332
191,Asău,46.4333,26.4,53.76,92,100,4.97,RO,1622686332
192,Rincon,32.296,-81.2354,78.85,90,40,5.21,US,1622686113
193,Turukhansk,65.8167,87.9833,42.48,63,99,12.75,RU,1622686333
194,Catuday,16.2923,119.8062,80.24,86,100,20.42,PH,1622686333
195,Sechura,-5.5569,-80.8222,68.88,74,80,14.67,PE,1622686333
196,Río Gallegos,-51.6226,-69.2181,25.45,81,11,2.98,AR,1622686333
197,Kendari,-3.945,122.4989,82.69,75,100,2.04,ID,1622686334
198,Pevek,69.7008,170.3133,34.66,78,99,4.92,RU,1622686334
199,Provideniya,64.3833,-173.3,33.91,80,75,15.66,RU,1622686335
200,Longyearbyen,78.2186,15.6401,37.24,81,90,11.5,SJ,1622686335
201,Acarí,-15.4311,-74.6158,66.43,78,22,1.41,PE,1622686335
202,Hamilton,39.1834,-84.5333,65.98,97,90,5.97,US,1622686197
203,Deputatsky,69.3,139.9,64.33,21,88,7.23,RU,1622686336
204,Gal'bshtadt,53.2264,78.9845,64.42,70,100,10.98,RU,1622686336
205,Nanortalik,60.1432,-45.2371,38.64,92,100,14.52,GL,1622686336
206,Valle Nacional,17.7833,-96.3167,75.81,92,72,1.05,MX,1622686337
207,Hobyo,5.3505,48.5268,77.9,83,88,18.86,SO,1622686337
208,Sikeston,36.8767,-89.5879,69.69,88,75,0.0,US,1622686258
209,Shelburne,44.0787,-80.2041,63.09,87,100,6.89,CA,1622686337
210,Bongaree,-27.0797,153.1586,72.21,12,100,6.98,AU,1622686338
211,Severo-Kuril'sk,50.6789,156.125,45.0,81,73,10.87,RU,1622686338
212,Kungurtug,50.5994,97.5228,66.24,27,3,0.85,RU,1622686338
213,Barranca,-10.75,-77.7667,64.51,83,62,6.55,PE,1622686339
214,Dalbandin,28.8947,64.4101,92.59,6,0,1.95,PK,1622686339
215,Chilca,-12.5211,-76.7372,64.56,84,98,3.02,PE,1622686339
216,Kenora,49.8167,-94.4337,75.18,65,97,5.26,CA,1622686339
217,Port Blair,11.6667,92.75,84.24,79,40,2.3,IN,1622686340
218,Comodoro Rivadavia,-45.8667,-67.5,42.66,81,0,2.3,AR,1622686190
219,Berezovyy,51.6667,135.7,64.18,59,100,6.96,RU,1622686334
220,Farah,32.5,62.5,85.59,11,0,3.87,AF,1622686340
221,Nioki,-2.7167,17.6833,73.47,86,96,2.37,CD,1622686341
222,Mount Gambier,-37.8333,140.7667,55.31,88,75,5.75,AU,1622686341
223,Mīzan Teferī,6.9833,35.5833,61.84,91,95,2.66,ET,1622686341
224,Oltu,40.5498,42.0013,46.85,92,97,3.02,TR,1622686342
225,Champerico,14.3,-91.9167,84.34,71,15,5.35,GT,1622686342
226,Beringovskiy,63.05,179.3167,33.03,73,10,4.68,RU,1622686342
227,Jupiter,26.9342,-80.0942,81.05,83,99,5.01,US,1622686343
228,Semporna,4.4818,118.6112,84.7,75,81,8.16,MY,1622686343
229,Malanje,-9.5402,16.341,57.36,48,64,2.24,AO,1622686343
230,Dauphin,51.1494,-100.0502,69.3,74,100,2.13,CA,1622686343
231,Shingū,33.7333,135.9833,76.91,72,100,12.53,JP,1622686344
232,Buraidah,26.326,43.975,86.25,13,27,6.4,SA,1622686344
233,Yebaishou,41.3975,119.6408,66.97,26,10,18.52,CN,1622686344
234,Miranda,3.2499,-76.2281,73.53,94,100,4.27,CO,1622686345
235,Chui,-33.6971,-53.4616,47.01,86,1,6.49,UY,1622686345
236,Haines Junction,60.7522,-137.5108,52.95,63,98,10.4,CA,1622686346
237,Lagoa,39.05,-27.9833,59.49,68,39,6.78,PT,1622686346
238,Busko-Zdrój,50.4708,20.7188,51.62,77,100,1.3,PL,1622686346
239,Samarai,-10.6167,150.6667,79.38,84,62,13.44,PG,1622686346
240,La Trinidad,16.455,120.5875,73.2,70,100,7.67,PH,1622686347
241,Ipameri,-17.7219,-48.1597,70.92,54,97,5.44,BR,1622686347
242,Coyhaique,-45.5752,-72.0662,39.15,100,90,2.3,CL,1622686347
243,Mountrath,52.9989,-7.4728,57.43,91,100,4.43,IE,1622686348
244,Iskateley,67.6803,53.1512,38.3,70,100,15.52,RU,1622686348
245,Piripiri,-4.2733,-41.7769,73.94,87,35,2.73,BR,1622686348
246,Pangnirtung,66.1451,-65.7125,33.17,99,100,1.63,CA,1622686349
247,Rabo de Peixe,37.8,-25.5833,58.51,72,20,5.03,PT,1622686349
248,Jumla,29.2747,82.1838,62.33,63,0,1.66,NP,1622686349
249,Aparecida,-22.8469,-45.2297,65.1,79,0,2.13,BR,1622686350
250,Toamasina,-18.1667,49.3833,68.63,90,31,7.87,MG,1622686350
251,Biltine,14.5333,20.9167,87.51,14,100,6.71,TD,1622686350
252,Kavieng,-2.5744,150.7967,83.39,74,100,4.72,PG,1622686351
253,Marystown,47.1666,-55.1483,53.85,100,0,12.68,CA,1622686351
254,Moba,33.2288,105.0179,54.39,58,100,6.46,CN,1622686351
255,Lavaca,28.615,-96.6261,80.58,87,1,5.75,US,1622686352
256,Byron Bay,-28.65,153.6167,71.55,64,76,11.99,AU,1622686057
257,Ust'-Ilimsk,58.0006,102.6619,77.76,27,3,6.42,RU,1622686352
258,La Rochelle,46.1667,-1.15,60.87,94,90,6.91,FR,1622686352
259,Vila Velha,-20.3297,-40.2925,71.94,94,20,1.99,BR,1622686353
260,Ketchikan,55.3422,-131.6461,55.38,94,90,10.36,US,1622686353
261,Grindavik,63.8424,-22.4338,43.56,81,75,7.9,IS,1622686353
262,Ixtapa,20.7,-105.2,81.63,78,90,8.05,MX,1622686354
263,George Town,5.4112,100.3354,85.95,79,20,1.01,MY,1622686132
264,Tuktoyaktuk,69.4541,-133.0374,38.37,70,15,12.33,CA,1622686354
265,Berlevåg,70.8578,29.0864,49.01,73,78,3.4,NO,1622686354
266,Darhan,49.4867,105.9228,61.75,58,12,6.82,MN,1622686355
267,Fortuna,40.5982,-124.1573,61.93,82,20,1.01,US,1622686355
268,Tazmalt,36.3868,4.3989,75.63,64,100,4.12,DZ,1622686355
269,Quatre Cocos,-20.2078,57.7625,75.09,69,54,18.79,MU,1622686356
270,Chapleau,47.8405,-83.4034,55.58,81,80,5.73,CA,1622686356
271,Tura,25.5198,90.2201,80.02,81,32,5.66,IN,1622686356
272,Chingirlau,51.095,54.0814,67.98,71,11,1.74,KZ,1622686357
273,Hofn,64.2539,-15.2082,46.78,96,100,0.67,IS,1622686357
274,Den Helder,52.9599,4.7593,64.94,87,20,5.99,NL,1622686067
275,La Rioja,42.25,-2.5,58.78,64,41,6.38,ES,1622686170
276,Peniche,39.3558,-9.3811,58.73,83,100,21.68,PT,1622686357
277,Frontera,26.9333,-101.45,84.33,48,70,5.12,MX,1622686358
278,The Valley,18.217,-63.0578,81.1,74,100,18.97,AI,1622686242
279,Wattegama,6.7989,81.4808,80.01,78,100,3.31,LK,1622686358
280,Nosy Varika,-20.5833,48.5333,67.26,91,21,5.93,MG,1622686359
281,Vao,-22.6667,167.4833,71.01,65,11,10.0,NC,1622686359
282,Springbok,-29.6643,17.8865,50.29,42,0,19.48,ZA,1622686359
283,Vostok,46.4856,135.8833,53.89,92,100,4.52,RU,1622686360
284,Luganville,-15.5333,167.1667,78.44,75,100,9.64,VU,1622686360
285,Muzhi,65.3667,64.6667,38.59,59,31,25.01,RU,1622686360
286,Barra de Tecoanapa,16.5167,-98.75,84.33,74,39,6.11,MX,1622686361
287,Ancud,-41.8697,-73.8203,57.22,98,100,11.27,CL,1622686361
288,Lata,40.1629,-8.3327,58.82,93,99,4.92,PT,1622686361
289,Yaan,7.3833,8.5667,74.84,89,52,5.88,NG,1622686362
290,Serenje,-13.2325,30.2352,57.22,93,48,3.2,ZM,1622686362
291,Huilong,31.8111,121.655,80.04,84,99,5.97,CN,1622686362
292,Yumen,40.2833,97.2,70.9,9,0,12.26,CN,1622686363
293,Namatanai,-3.6667,152.4333,84.87,68,100,2.86,PG,1622686363
294,Bonthe,7.5264,-12.505,79.54,82,100,4.63,SL,1622686363
295,Aripuanã,-9.1667,-60.6333,72.54,66,13,1.66,BR,1622686364
296,Lima,-12.0432,-77.0282,62.85,84,90,5.75,PE,1622686347
297,Kaeo,-35.1,173.7833,64.33,64,100,2.55,NZ,1622686364
298,Banjar,-8.19,114.9675,82.26,59,13,1.39,ID,1622686364
299,Merauke,-8.4667,140.3333,81.43,76,97,11.36,ID,1622686365
300,Kilindoni,-7.9139,39.6668,77.85,75,43,7.99,TZ,1622686365
301,Potam,27.6,-110.3833,91.44,31,35,4.74,MX,1622686365
302,Torbay,47.6666,-52.7314,56.88,83,0,19.28,CA,1622686366
303,Pauini,-7.7136,-66.9764,74.77,69,36,2.28,BR,1622686366
304,Brigantine,39.4101,-74.3646,66.02,92,1,8.28,US,1622686366
305,Harper,4.375,-7.7169,79.03,87,41,7.65,LR,1622686367
306,Cartagena del Chairá,1.3349,-74.8429,71.91,98,62,2.84,CO,1622686367
307,Kollam,8.8833,76.6,82.27,82,79,2.48,IN,1622686220
308,Catumbela,-12.4314,13.5472,72.36,85,27,5.44,AO,1622686367
309,Lebu,-37.6167,-73.65,55.92,98,100,5.14,CL,1622686368
310,Zhuangyuan,37.2975,120.8256,70.84,70,100,7.09,CN,1622686368
311,São João da Barra,-21.6403,-41.0511,71.78,89,0,8.39,BR,1622686368
312,Wainwright,52.839,-110.8572,76.84,51,86,4.99,CA,1622686369
313,Atar,20.5169,-13.0499,91.04,27,100,4.12,MR,1622686369
314,Ust-Nera,64.5667,143.2,57.38,34,7,2.39,RU,1622686369
315,Ozernovskiy,51.5,156.5167,41.67,84,98,7.11,RU,1622686370
316,Acaraú,-2.8856,-40.12,77.99,83,6,11.45,BR,1622686370
317,Half Moon Bay,37.4636,-122.4286,78.62,79,90,6.91,US,1622686132
318,Lüderitz,-26.6481,15.1594,65.32,30,4,21.47,NA,1622686370
319,Novy Urengoy,66.0833,76.6333,39.67,54,49,4.45,RU,1622686371
320,San Quintín,30.4833,-115.95,63.72,79,99,8.95,MX,1622686371
321,Dickinson,29.4608,-95.0513,81.95,79,75,1.01,US,1622686371
322,Mahébourg,-20.4081,57.7,75.25,67,71,18.95,MU,1622686118
323,Noshiro,40.2039,140.0242,76.35,52,99,1.81,JP,1622686372
324,Saldanha,-33.0117,17.9442,57.02,84,0,12.3,ZA,1622686372
325,Caravelas,-17.7125,-39.2481,72.88,87,14,4.09,BR,1622686372
326,Acapulco de Juárez,16.8634,-99.8901,85.82,70,90,7.92,MX,1622686261
327,Aquiraz,-3.9014,-38.3911,80.69,83,15,10.38,BR,1622686373
328,Pontianak,-0.0333,109.3333,84.18,84,20,4.0,ID,1622686373
329,Mandalgovi,45.7625,106.2708,55.78,47,6,16.28,MN,1622686373
330,Kumul,42.8,93.45,83.73,6,1,10.67,CN,1622686374
331,Hurghada,27.2574,33.8129,76.08,43,35,24.74,EG,1622686374
332,Takaka,-40.85,172.8,60.57,62,1,3.56,NZ,1622686374
333,Nikolskoye,59.7035,30.7861,48.09,73,42,3.71,RU,1622686375
334,Khandyga,62.6667,135.6,71.02,36,0,3.44,RU,1622686375
335,Aného,6.2333,1.6,80.94,80,31,9.62,TG,1622686375
336,Gagarin,55.5529,34.9954,44.19,89,2,8.14,RU,1622686376
337,Lodja,-3.4833,23.4333,73.22,62,100,2.17,CD,1622686376
338,Sahuaripa,29.05,-109.2333,90.57,14,77,10.63,MX,1622686376
339,Kiryat Gat,31.61,34.7642,65.8,68,0,3.09,IL,1622686377
340,Ruyigi Province,-3.45,30.3167,58.01,82,100,3.58,BI,1622686377
341,Karratha,-20.7377,116.8463,69.46,40,100,19.73,AU,1622686377
342,Altay,47.8667,88.1167,77.7,33,58,4.14,CN,1622686378
343,Hayvoron,48.3396,29.8679,50.52,94,100,13.89,UA,1622686378
344,Flinders,-34.5833,150.8552,58.37,88,100,4.0,AU,1622686378
345,Coolum Beach,-26.5333,153.1,71.11,79,97,4.21,AU,1622686379
346,Verkhnyaya Inta,65.9811,60.3094,34.7,81,98,15.57,RU,1622686379
347,Atocha,-20.9333,-66.2333,41.27,21,63,2.91,BO,1622686379
348,Oshkosh,44.0247,-88.5426,69.98,48,1,5.75,US,1622686305
349,Linxia Chengguanzhen,35.6003,103.2064,59.97,44,100,1.86,CN,1622686380
350,Ambunti,-4.2365,142.8448,90.48,55,21,1.3,PG,1622686380
351,Bilibino,68.0546,166.4372,65.46,20,85,8.3,RU,1622686380
352,Gimli,50.6336,-96.9907,66.51,73,100,13.15,CA,1622686380
353,Mar del Plata,-38.0023,-57.5575,49.12,4,100,7.0,AR,1622686252
354,Marzuq,14.4,46.4667,74.03,36,5,5.64,YE,1622686381
355,Urengoy,65.9667,78.3667,40.91,54,60,6.38,RU,1622686381
356,Shimoda,34.6667,138.95,74.1,71,100,12.06,JP,1622686382
357,Keta,5.9179,0.9879,80.98,81,16,6.6,GH,1622686382
358,Luanda,-8.8368,13.2343,77.0,83,75,2.3,AO,1622686145
